tweet_id,created_at,text,likes,retweeted,location,language,airline
1337012314470457345,2020-12-10 12:32:30,"Singapore Airlines Increases Ties With India’s Vistara
#India #Singapore #travel
#travelphotography #traveling… https://t.co/syWdxGmAvz",0,False,Taiwan,en,#Singapore _Airlines
1336883367103651841,2020-12-10 04:00:07,"#Changi readies for vaccine distribution in #Asia
#Singapore's air cargo hub gears up for the safe transportation o… https://t.co/JYhfEUzRTD",0,False,"Central Region, Singapore",en,#Singapore _Airlines
1336659677971505153,2020-12-09 13:11:15,"Singapore Airlines To Strengthen Ties With India’s Vistara
#Singapore #India @airlines #SIA #Asia… https://t.co/OTRRkqHgjW",0,False,Taiwan,en,#Singapore _Airlines
1336565658373373953,2020-12-09 06:57:39,.@caasint &amp; @ChangiAirport have jointly put together a  #ChangiReadyTaskforce of #governmentagencies #cargohandlers… https://t.co/iX9SXiMG3G,0,False,,en,#Singapore _Airlines
1336548533856477184,2020-12-09 05:49:36,"#Singapore #Airlines 9V-SWH - #Boeing #B777-312(ER) @ #HongKong International #Airport (#HKG)
Date: 06/07/2013
Phot… https://t.co/zFRh4hNFQw",2,False,,en,#Singapore _Airlines
1336483192052695040,2020-12-09 01:29:58,"Singapore Airlines Daily Flight Operations between Manila and Singapore starting Dec 7, 2020 (as of Nov 27, 2020)… https://t.co/VGacjPZgfs",2,False,Philippines,en,#Singapore _Airlines
1336437108957798400,2020-12-08 22:26:51,"RT @TheTaiwanTimes: Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean #Australi…",0,False,"台北市, 台灣",en,#Singapore _Airlines
1336437048140390401,2020-12-08 22:26:36,"Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean… https://t.co/UmJ9WVhCws",1,False,"台北市, 台灣",en,#Singapore _Airlines
1336436925033373697,2020-12-08 22:26:07,"RT @TheTaiwanTimes: Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean #Australi…",0,False,"Taipei City, Taiwan",en,#Singapore _Airlines
1336436888383574016,2020-12-08 22:25:58,"Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean… https://t.co/NxefVukNq2",1,False,"Taipei City, Taiwan",en,#Singapore _Airlines
1336436840056811524,2020-12-08 22:25:47,"RT @MarkBuckton1970: Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean #Austral…",0,False,"Dadaocheng, Taipei",en,#Singapore _Airlines
1336436797916676098,2020-12-08 22:25:37,"Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean… https://t.co/WMGfQyAfoO",1,False,"Dadaocheng, Taipei",en,#Singapore _Airlines
1336436753515737088,2020-12-08 22:25:26,"Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean… https://t.co/z7SSwPiQMm",4,False,Taiwan,en,#Singapore _Airlines
1336436684519436290,2020-12-08 22:25:10,"RT @MarkBuckton1970: Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean #Austral…",0,False,Taiwan,en,#Singapore _Airlines
1336436473529176064,2020-12-08 22:24:19,"Singapore Airlines To Strengthen Ties With India’s Vistara 
#Singapore #Airlines #vistara #India #Singaporean… https://t.co/2FCkZbKkHN",3,False,"Dadaocheng, Taipei.🇹🇼",en,#Singapore _Airlines
1336172416582610944,2020-12-08 04:55:03,"Competition watchdog seeks public feedback on proposed Singapore Airlines, Vistara cooperation… https://t.co/Z5bXr9OmSL",0,False,Singapore,en,#Singapore _Airlines
1335992017956917248,2020-12-07 16:58:13,Full service private airline #Vistara (@airvistara) has entered into a Commercial Cooperation Framework Agreement w… https://t.co/uwaqJybMF6,0,False,WorldWide,en,#Singapore _Airlines
1335953533007519745,2020-12-07 14:25:17,Full service private airline #Vistara (@airvistara) has entered into a Commercial Cooperation Framework Agreement w… https://t.co/anWNMtwMFJ,1,False,New Delhi,en,#Singapore _Airlines
1335918063317889024,2020-12-07 12:04:21,RT @peterjcolemansg: #COVID19 update on #taiwan also #china #singapore #hongkong #aviation #airlines #pilots #travel #tourism #taipei #pand…,0,False,,en,#Singapore _Airlines
1335901874390790150,2020-12-07 11:00:01,"Cathay Pacific and Singapore Airlines Defer Travel Bubble Flights.

The flag carriers of #HongKong and #Singapore w… https://t.co/EMrEkGUoP1",3,False,Asia-Pacific,en,#Singapore _Airlines
1335883664069177345,2020-12-07 09:47:39,Singapore Airlines &amp; Vistara say have signed Commercial Cooperation Framework Agreement furthering 2017 code share… https://t.co/WUN3TEB64Z,16,False,mumbai india,en,#Singapore _Airlines
1335801845676011521,2020-12-07 04:22:32,"#Singapore #Airlines 9V-SWH - #Boeing #B777-312(ER) @ #HongKong International #Airport (#HKG)
Date: 06/07/2013
Phot… https://t.co/1nbd0UpdPt",0,False,,en,#Singapore _Airlines
1335801636573220864,2020-12-07 04:21:42,#Singapore #Airlines 9V-SWH - #Boeing #B777-312(ER)  &amp; #CathayPacific #Boeing #B747 @ #HongKong International… https://t.co/FENg4pshjU,1,False,,en,#Singapore _Airlines
1335782116492120064,2020-12-07 03:04:08,#COVID19 update on #taiwan also #china #singapore #hongkong #aviation #airlines #pilots #travel #tourism #taipei… https://t.co/wjb2mJ4Rhz,0,False,Jakarta ,en,#Singapore _Airlines
1335765195738632192,2020-12-07 01:56:54,Can you catch #COVID during a #flight? Excellent analysis of what did and did not happen. #Emirates #newzealand… https://t.co/N4cCtqlKKO,0,False,Asia,en,#Singapore _Airlines
1335637379076431874,2020-12-06 17:29:00,#Singapore #Airlines unveils new short-haul economy catering | read: https://t.co/GTlp711kac | #Airline #Sia… https://t.co/HiTYYzHEZ4,2,False,A.S.I.A,en,#Singapore _Airlines
1335584989912698880,2020-12-06 14:00:50,RT @GulfNewsBiz: Singapore Airlines will prioritize freight capacity to ship Covid-19 vaccines and will conduct test flights soon to trial…,0,False,,en,#Singapore _Airlines
1335584788854542338,2020-12-06 14:00:02,RT @GulfNewsBiz: Singapore Airlines will prioritize freight capacity to ship Covid-19 vaccines and will conduct test flights soon to trial…,0,False,,en,#Singapore _Airlines
1335584783691288579,2020-12-06 14:00:01,Singapore Airlines will prioritize freight capacity to ship Covid-19 vaccines and will conduct test flights soon to… https://t.co/UzA9ik6C26,1,False,Dubai,en,#Singapore _Airlines
1335353117156597760,2020-12-05 22:39:27,Air New Zealand ups the ante in the on-board air safety video competition. #newzealand #airsafety #flights… https://t.co/WM0OKNfiBW,0,False,Asia,en,#Singapore _Airlines
1335297895453560835,2020-12-05 19:00:01,"Cathay Pacific and Singapore Airlines Defer Travel Bubble Flights.

The flag carriers of #HongKong and #Singapore w… https://t.co/iYaGzwB4jE",0,False,Asia-Pacific,en,#Singapore _Airlines
1335168801218809857,2020-12-05 10:27:03,Singapore Airlines to prioritise cargo capacity for transportation of COVID-19 vaccines https://t.co/tCCPYHfOmE… https://t.co/YFu8tvLsba,0,False,Singapore,en,#Singapore _Airlines
1335164076079501312,2020-12-05 10:08:16,"#Coronavirus: #Singapore Airlines readies fleet for shipping #vaccines, 
#SouthKorea ’s capital began enforcing str… https://t.co/RQE8a7DDqG",1,False,"San Francisco, singapore ",en,#Singapore _Airlines
1334995907025092609,2020-12-04 23:00:01,"Cathay Pacific and Singapore Airlines Defer Travel Bubble Flights.

The flag carriers of #HongKong and #Singapore w… https://t.co/pTWC4hJGTJ",1,False,Asia-Pacific,en,#Singapore _Airlines
1334737122641764352,2020-12-04 05:51:42,"RT @voxya_: Consumer flight booking was cancelled by #Airlines due to covid19 but refund not processed by #Goibibo, complaint filed against…",0,False,,en,#Singapore _Airlines
1334730073941880832,2020-12-04 05:23:42,"RT @voxya_: Consumer flight booking was cancelled by #Airlines due to covid19 but refund not processed by #Goibibo, complaint filed against…",0,False,,en,#Singapore _Airlines
1334729763613622272,2020-12-04 05:22:28,"Consumer flight booking was cancelled by #Airlines due to covid19 but refund not processed by #Goibibo, complaint f… https://t.co/suhf2j4RwB",2,False,India,en,#Singapore _Airlines
1334701348059635712,2020-12-04 03:29:33,$C6L #Singapore Airlines Ltd. Singapore Airlines (SIA SP) - SIA is more expensive now than it was two years ago: Wh… https://t.co/evn3l2RMIv,0,False,"Paris, France",en,#Singapore _Airlines
1334701344825909249,2020-12-04 03:29:32,"$C6L #Singapore Airlines Ltd. Singapore Daily - Friday, December 04, 2020: KEY HIGHLIGHTS Update Singapore Airlines… https://t.co/Iu1DXqqfrm",0,False,"Paris, France",en,#Singapore _Airlines
1334663713085943814,2020-12-04 01:00:00,"Cathay Pacific and Singapore Airlines Defer Travel Bubble Flights.

The flag carriers of #HongKong and #Singapore w… https://t.co/zkXOg0AmVc",1,False,Asia-Pacific,en,#Singapore _Airlines
1334452319002517504,2020-12-03 11:00:00,"Cathay Pacific and Singapore Airlines Defer Travel Bubble Flights.

The flag carriers of #HongKong and #Singapore w… https://t.co/YRsC4wZJik",1,False,Asia-Pacific,en,#Singapore _Airlines
1334383477907578881,2020-12-03 06:26:27,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Kuala Terengganu, Terengganu",en,#Singapore _Airlines
1334353859016179713,2020-12-03 04:28:45,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,Singapore,en,#Singapore _Airlines
1334238426095382531,2020-12-02 20:50:04,Singapore airlines business class seating provides a comprehensive and comprehensive pathway for students to see pr… https://t.co/x1dISgxz8g,0,False,,en,#Singapore _Airlines
1334145778852405253,2020-12-02 14:41:55,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,In the sky somewhere,en,#Singapore _Airlines
1334136755881185282,2020-12-02 14:06:04,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Foum Mharech, Morocco",en,#Singapore _Airlines
1334130980433653760,2020-12-02 13:43:07,Arriving at @manairport in some fab early morning winter light is this @SingaporeAir @AirbusintheUK A350 #avgeek… https://t.co/irbhjFakeE,8,False,Manchester,en,#Singapore _Airlines
1334118714946424832,2020-12-02 12:54:23,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,Singapore,en,#Singapore _Airlines
1334097045997584385,2020-12-02 11:28:16,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Kuala Lumpur City, Kuala Lumpur Federal Territory",en,#Singapore _Airlines
1334096812425293826,2020-12-02 11:27:21,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"France, Panama, Maroc, USA",en,#Singapore _Airlines
1334094608180129793,2020-12-02 11:18:35,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,Distrito Federal de Bogotá CO,en,#Singapore _Airlines
1334093738730205184,2020-12-02 11:15:08,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,,en,#Singapore _Airlines
1334093691422535680,2020-12-02 11:14:56,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"40,000 ft",en,#Singapore _Airlines
1334081917843509259,2020-12-02 10:28:09,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Penang , Malaysia 🇲🇾",en,#Singapore _Airlines
1334081528750428162,2020-12-02 10:26:37,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,Woodgrove/ITECC ,en,#Singapore _Airlines
1334073068033953792,2020-12-02 09:52:59,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"40,000 Feet 🇨🇦",en,#Singapore _Airlines
1334056181204197383,2020-12-02 08:45:53,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,NICN,en,#Singapore _Airlines
1334046955371159552,2020-12-02 08:09:14,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,,en,#Singapore _Airlines
1334037616652677125,2020-12-02 07:32:07,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,Worldwide,en,#Singapore _Airlines
1334036347619708933,2020-12-02 07:27:05,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Seattle, WA",en,#Singapore _Airlines
1334036213976719360,2020-12-02 07:26:33,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Warrington, England",en,#Singapore _Airlines
1334029533016682497,2020-12-02 07:00:00,"Cathay Pacific and Singapore Airlines Defer Travel Bubble Flights.

The flag carriers of #HongKong and #Singapore w… https://t.co/F8ZiPvGDUo",1,False,Asia-Pacific,en,#Singapore _Airlines
1333974921828044801,2020-12-02 03:23:00,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,United States,en,#Singapore _Airlines
1333913707676536832,2020-12-01 23:19:45,Hong Kong Covid19 Business Travel &amp; Investigations update 30Nov20. Can you #travel to #HongKong is #business open.… https://t.co/smGUjrMYnL,1,False,Asia,en,#Singapore _Airlines
1333852764238213123,2020-12-01 19:17:35,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Geneva, Kinshasa, Montréal.",en,#Singapore _Airlines
1333843759025500161,2020-12-01 18:41:48,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,"Mayagüez, Puerto Rico",en,#Singapore _Airlines
1333811540076634113,2020-12-01 16:33:46,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,日本🇯🇵 京都,en,#Singapore _Airlines
1333808921513914369,2020-12-01 16:23:22,RT @jfkjetsofficial: These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight from…,0,False,,en,#Singapore _Airlines
1333806977814827008,2020-12-01 16:15:39,These stunning @SingaporeAir @Airbus A350s needed their beauty sleep in between flying the world’s longest flight f… https://t.co/reLqYoSCJ7,155,False,"New York, NY",en,#Singapore _Airlines
