,Unnamed: 0,Unnamed: 0.1,tweet_id,created_at,text,likes,retweeted,location,language,airline,string_text,subjectivity,polarity,sentiment,reason,cancel,staff,flight,cost,refund,customrt service,experience
0,0,0,1336979288470548481,2020-12-10 10:21:16,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transfer']",0,False,"RIYADH,SAUDI ARABIA",en,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transfer,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']",0,0,0,0,0,0,0
1,1,2,1336950027005161473,2020-12-10 08:25:00,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transfer', 'aviation', 'industry', 'saei', 'saudiairlines', 'company', 'signed', 'memorandum', 'understanding', 'agreement', 'technics']",5,False,"Jeddah, Saudi Arabia",en,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transfer aviation industry saei saudiairlines company signed memorandum understanding agreement technics,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']",0,0,1,0,0,0,0
2,6,544,1336650296962019329,2020-12-09 12:33:59,"['happy', 'anniversary', 'best', 'airline', 'ever', 'always', 'saudia']",1,False,السعوديه العظمى,en,Saudia airlines,happy anniversary best airline ever always saudia,0.65,0.9,Positive,['rightly'],0,0,0,0,0,0,0
3,7,545,1336586520313143298,2020-12-09 08:20:33,"['realflow', 'allinone', 'software', 'start', 'grow', 'real', 'estate', 'investing', 'business', 'video', 'link']",0,False,Lebanon,en,Saudia airlines,realflow allinone software start grow real estate investing business video link,0.30000000000000004,0.2,Positive,['real'],0,0,0,0,0,0,0
4,8,546,1336552573650661377,2020-12-09 06:05:40,"['airline', 'great', 'taste', 'travel', 'soft', 'feeling', 'friendly', 'crew', 'always', 'enjoyed', 'frequent']",0,False,Madinah KSA,en,Saudia airlines,airline great taste travel soft feeling friendly crew always enjoyed frequent,0.5199999999999999,0.375,Positive,['love'],0,1,0,0,0,0,0
5,15,553,1336244070289711104,2020-12-08 09:39:47,"['saudi', 'arabia', 'saudi', 'prince', 'strongly', 'criticizes', 'israel', 'bahrain', 'summit', 'although', 'prince', 'hold', 'offi']",1,False,,en,Saudia airlines,saudi arabia saudi prince strongly criticizes israel bahrain summit although prince hold offi,0.7333333333333333,0.4333333333333333,Positive,['specially'],0,0,0,0,0,0,0
6,16,554,1336232045308235776,2020-12-08 08:52:00,"['saudia', 'covid', 'rule', 'eygpt', 'different', 'airline', 'others', 'rightly', 'allow', 'passenger']",0,False,,en,Saudia airlines,saudia covid rule eygpt different airline others rightly allow passenger,0.5678571428571428,0.14285714285714285,Positive,['first'],0,0,0,0,0,0,0
7,19,557,1336008458798297090,2020-12-07 18:03:33,"['realflow', 'allinone', 'software', 'start', 'grow', 'real', 'estate', 'investing', 'business', 'video', 'link']",1,False,lebanon ,en,Saudia airlines,realflow allinone software start grow real estate investing business video link,0.30000000000000004,0.2,Positive,['ready'],0,0,0,0,0,0,0
8,26,564,1335795518572797953,2020-12-07 03:57:24,"['airline', 'نخدمكم', 'serve', 'love', 'اليومالعالميلذويالإعاقة', 'الخطوطالسعودية', 'internationaldis']",0,False,India,en,Saudia airlines,airline نخدمكم serve love اليومالعالميلذويالإعاقة الخطوطالسعودية internationaldis,0.6,0.5,Positive,['best'],0,0,0,0,0,0,0
9,33,571,1335436167442026496,2020-12-06 04:09:28,"['sorry', 'saudia', 'arabian', 'able', 'face', 'economic', 'loss', 'able', 'follows', 'king']",0,False,,en,Saudia airlines,sorry saudia arabian able face economic loss able follows king,0.6125,0.175,Positive,['loved'],0,0,0,0,0,0,0
10,35,573,1335290883013562372,2020-12-05 18:32:09,"['summit', 'welcome', 'saudi', 'arabia', 'انطلاقةنحومستقبلعظيم', 'مجموعةالعشرين', 'takingofftoagreatfuture', 'saudi']",0,False, %ستغفرالله إلعظيم وإتوب إليه%,en,Saudia airlines,summit welcome saudi arabia انطلاقةنحومستقبلعظيم مجموعةالعشرين takingofftoagreatfuture saudi,0.9,0.8,Positive,"['aware', 'better', 'excuse']",0,0,0,0,0,0,0
11,38,579,1334936986197614598,2020-12-04 19:05:54,"['saudiarabia', 'saudia', 'qatar', 'qatar', 'gulfkanawut', 'المصالحةالخليجية', 'saudi', 'arabia', 'significant', 'progress']",0,False,"مسقط, سلطنة عمان",en,Saudia airlines,saudiarabia saudia qatar qatar gulfkanawut المصالحةالخليجية saudi arabia significant progress,0.875,0.375,Positive,['first'],0,0,0,0,0,0,0
12,40,582,1334803876038537218,2020-12-04 10:16:58,"['sorry', 'true', 'actually', 'showing', 'true', 'nature', 'pakistani', 'abuse']",0,False,,en,Saudia airlines,sorry true actually showing true nature pakistani abuse,0.6,0.04999999999999999,Positive,"['direct', 'good']",0,0,0,0,0,0,0
13,41,583,1334786143230029824,2020-12-04 09:06:30,"['sorry', 'true', 'actually', 'showing', 'true', 'nature', 'pakistani', 'abuse']",1,False,"Al Madinah Al Munawwarah, KSA",en,Saudia airlines,sorry true actually showing true nature pakistani abuse,0.6,0.04999999999999999,Positive,['surprising'],0,0,0,0,0,0,0
14,47,612,1334437259500793857,2020-12-03 10:00:09,"['نخدمكم', 'serve', 'love', 'اليومالعالميلذويالإعاقة', 'الخطوطالسعودية']",160,False,Saudi Arabia,en,Saudia airlines,نخدمكم serve love اليومالعالميلذويالإعاقة الخطوطالسعودية,0.6,0.5,Positive,['safe'],0,0,0,0,0,0,0
15,50,616,1334194717492350976,2020-12-02 17:56:23,"['called', 'royal', 'infection', 'region', 'saudia', 'specially', 'terrorist', 'state']",0,False,"Karachi, Pakistan",en,Saudia airlines,called royal infection region saudia specially terrorist state,0.5714285714285714,0.35714285714285715,Positive,['complete'],0,0,0,0,0,0,0
16,59,631,1333895634999504897,2020-12-01 22:07:56,"['first', 'state', 'second', 'state', 'third', 'state', 'finally', 'gsummit', 'saudia', 'presidency', 'global', 'economy']",1,False,"Al Madinah Al Munawwarah, KSA",en,Saudia airlines,first state second state third state finally gsummit saudia presidency global economy,0.26666666666666666,0.05,Positive,['gorgeous'],0,0,0,0,0,0,0
17,60,632,1333857613017083906,2020-12-01 19:36:51,"['saudi', 'arabia', 'playing', 'turkey', 'young', 'prince', 'realize', 'turkey', 'trustworth']",1,False,Las Vegas,en,Saudia airlines,saudi arabia playing turkey young prince realize turkey trustworth,0.4,0.1,Positive,"['easy', 'better', 'long']",0,0,0,0,0,0,0
18,61,633,1333819527759622144,2020-12-01 17:05:31,"['iran', 'foreign', 'minister', 'zarif', 'desperate', 'blame', 'kingdom', 'saudiarabia', 'anything', 'negative', 'happens']",0,False,مملكة البحرين,en,Saudia airlines,iran foreign minister zarif desperate blame kingdom saudiarabia anything negative happens,0.5083333333333333,-0.3416666666666666,Negative,['empty'],0,0,0,0,0,0,0
19,62,634,1333682331748618245,2020-12-01 08:00:21,"['saudia', 'cargo', 'ready', 'transport', 'receive', 'coronavirus', 'vaccine', 'transport', 'coronavirus', 'covidvaccine', 'saudia']",0,False,"Dubai, United Arab Emirates",en,Saudia airlines,saudia cargo ready transport receive coronavirus vaccine transport coronavirus covidvaccine saudia,0.5,0.2,Positive,"['attendant', 'exhausted']",0,0,1,0,0,0,0
20,64,636,1333676832013639680,2020-12-01 07:38:29,"['ready', 'transport', 'receive', 'coronavirus', 'vaccine', 'transport', 'coronavirus', 'covidvaccine', 'saudia']",2,False,"Dubai, United Arab Emirates",en,Saudia airlines,ready transport receive coronavirus vaccine transport coronavirus covidvaccine saudia,0.5,0.2,Positive,['stunning'],0,0,1,0,0,0,0
21,65,639,1336950027005161473,2020-12-10 08:25:00,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transf']",5,False,"Jeddah, Saudi Arabia",en,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transf,0.13333333333333333,0.11666666666666667,Positive,"['social', 'fitting']",0,0,0,0,0,0,0
