,Unnamed: 0,tweet_id,created_at,text,likes,retweeted,location,language,airline,Tweet_nonstop,sentiment_confidence,polarity,sentiment
0,14,1335393841810202624,2020-12-06 01:21:16, dear guest there is no flight from india to saudi arabia at this time kindly follow the flights… ,1,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'kindly', 'follow', 'flight', '']",0.9,0.6,Positive
1,23,1335337522738720770,2020-12-05 21:37:29, hello dear guest we hope you check and be informed of travel updates due to the corona virus covid… ,1,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'guest', 'hope', 'check', 'informed', 'travel', 'update', 'due', 'corona', 'virus', 'covid', '']",0.375,-0.125,Negative
2,29,1335334320014315521,2020-12-05 21:24:45, hello dear guest please provide us with the booking number through the direct message to let you know thank you,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'guest', 'please', 'provide', 'u', 'booking', 'number', 'direct', 'message', 'let', 'know', 'thank']",0.4,0.1,Positive
3,38,1335322063851167748,2020-12-05 20:36:03, dear guest there is no flight from india to saudi arabia at this time when flights schedule back… ,1,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'flight', 'schedule', 'back', '']",0.0,0.0,Neutral
4,43,1335314759588122626,2020-12-05 20:07:02, hello dear guest you can follow up the flights schedule in our website  … ,1,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'guest', 'follow', 'flight', 'schedule', 'website', '']",0.0,0.0,Neutral
5,50,1335306576312356865,2020-12-05 19:34:31, dear guest there is no flight from india to saudi arabia at this time when flights schedule back to… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'flight', 'schedule', 'back', '']",0.0,0.0,Neutral
6,51,1335304974679613443,2020-12-05 19:28:09, hello dear valued guest once the confirmation of the date of lifting restrictions on international fl… ,1,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'valued', 'guest', 'confirmation', 'date', 'lifting', 'restriction', 'international', 'fl', '']",0.0,0.0,Neutral
7,53,1335276146653589507,2020-12-05 17:33:36, dear guest there is no flight from india to saudi arabia at this time when flights schedule back… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'flight', 'schedule', 'back', '']",0.0,0.0,Neutral
8,55,1335275872295804928,2020-12-05 17:32:30, dear guest there is no flight from india to saudi arabia at this time when flights schedule back t… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'flight', 'schedule', 'back', '']",0.0,0.0,Neutral
9,57,1335266364739694593,2020-12-05 16:54:44, hello dear guest imran please provide us with the ticket number through the direct message to allow… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'guest', 'imran', 'please', 'provide', 'u', 'ticket', 'number', 'direct', 'message', 'allow', '']",0.4,0.1,Positive
10,59,1335264021742817282,2020-12-05 16:45:25, hello dear guest for more information about pcr please visit   thank you,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'guest', 'information', 'pcr', 'please', 'visit', 'thank']",0.0,0.0,Neutral
11,60,1335260317081866240,2020-12-05 16:30:42, dear guest there is no flight from india to saudi arabia at this time when flights schedule back… ,1,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'flight', 'schedule', 'back', '']",0.0,0.0,Neutral
12,63,1335255632644026368,2020-12-05 16:12:05, dear guest there is no flight from india to saudi arabia at this time when flights schedule back… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'flight', 'schedule', 'back', '']",0.0,0.0,Neutral
13,64,1335249372670521349,2020-12-05 15:47:12,  dear guest there is no flight from india to saudi arabia at this time when flights… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'flight', 'india', 'saudi', 'arabia', 'time', 'flight', '']",0.0,0.0,Neutral
14,66,1335248225436053507,2020-12-05 15:42:39, hello dear guest please visit the travel guidelines and requirements due to covid page through… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'guest', 'please', 'visit', 'travel', 'guideline', 'requirement', 'due', 'covid', 'page', '']",0.375,-0.125,Negative
15,86,1335045457186336770,2020-12-05 02:16:55, hello dear guest we hope you check and be informed of travel updates due to the corona virus covi… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'guest', 'hope', 'check', 'informed', 'travel', 'update', 'due', 'corona', 'virus', 'covi', '']",0.375,-0.125,Negative
16,96,1334956045270196224,2020-12-04 20:21:38, dear guests travel is currently allowed for excluded cases and residents who have an exit  return… ,2,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'travel', 'currently', 'allowed', 'excluded', 'case', 'resident', 'exit', 'return', '']",0.4,0.0,Neutral
17,103,1334944891382734849,2020-12-04 19:37:18, hello dear valued guest there is no flight from india to saudi arabia at the meantime kindly fol… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'valued', 'guest', 'flight', 'india', 'saudi', 'arabia', 'meantime', 'kindly', 'fol', '']",0.9,0.6,Positive
18,104,1334944104250302470,2020-12-04 19:34:11, dear guest for more information about travel guidelines and requirements due to covid kindly vi… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'guest', 'information', 'travel', 'guideline', 'requirement', 'due', 'covid', 'kindly', 'vi', '']",0.6375,0.2375,Positive
19,105,1334938215422304257,2020-12-04 19:10:47, hello dear valued guest for saudias office in nairobi  kenya kindly visit the following link… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'hello', 'dear', 'valued', 'guest', 'saudias', 'office', 'nairobi', 'kenya', 'kindly', 'visit', 'following', 'link', '']",0.5,0.3,Positive
20,106,1334935818104950784,2020-12-04 19:01:15, dear valued guest there is no flight from india to saudi arabia at the meantime kindly follow the… ,0,False,Saudi Arabia,en,Saudi_airlines,"['', 'dear', 'valued', 'guest', 'flight', 'india', 'saudi', 'arabia', 'meantime', 'kindly', 'follow', '']",0.9,0.6,Positive
